'MaxLandra', 1, u"#Sicilia governo #Renzi - #Berlusconi #FORZAPD c'\xe8 gi\xe0: dopo regionali pezzi del Pd pronti a sostenere Musumeci http://www. ilfattoquotidiano.it/2017/10/28/ele zioni-sicilia-il-governo-renzi-berlusconi-ce-gia-dopo-le-regionali-pezzi-del-pd-pronti-a-sostenere-musumeci/3941700/ \u2026 pic.twitter.com/1sjP0Cb6TS", u'#Sicilia #Renzi #Berlusconi #FORZAPD'
'Giosvi', 0, '#elesicilia #elezionisicilia #elezioniregionalisicilia #regionalisicilia #regionalisicilia2017 #sicilia2017 #regionali2017 Vota e #ritwitta', '#elesicilia #elezionisicilia #elezioniregionalisicilia #regionalisicilia #regionalisicilia2017 #sicilia2017 #regionali2017 #ritwitta'
'pipitone87', 3, u'Elezioni #Sicilia , il governo #Renzi #Berlusconi c\u2019\xe8 gi\xe0: dopo le regionali pezzi del Pd pronti a sostenere Musumeci http://www. ilfattoquotidiano.it/2017/10/28/ele zioni-sicilia-il-governo-renzi-berlusconi-ce-gia-dopo-le-regionali-pezzi-del-pd-pronti-a-sostenere-musumeci/3941700/ \u2026', u'#Sicilia #Renzi #Berlusconi'
'rcatania68', 0, u'#regionalisicilia "solo sei per Micari. E poi ciao" #Renzi d\xe0 6 (svogliati) minuti a #Micari e poi scappa dall\u2019isola https:// infosannio.wordpress.com/2017/10/28/ren zi-da-6-svogliati-minuti-a-micari-e-poi-scappa-dallisola/ \u2026', u'#regionalisicilia #Renzi #Micari'
'Sabina1956', 1, u'. #RegionaliSicilia #Sicilia5Stelle #CancelleriPresidente https:// twitter.com/sferriam/statu s/924224565479428098 \u2026', u'#RegionaliSicilia #Sicilia5Stelle #CancelleriPresidente'
'sergiogranata', 1, 'Di cosa ho paura? #ITMovie #regionali #Sicilia pic.twitter.com/JF2A1P4wcZ', '#ITMovie #regionali #Sicilia'
'GDS_it', 0, u'#regionalisicilia2017 Regionali , il tour dei big in Sicilia : stoccate di @matteorenzi \u2026 http:// gds.it/2017/10/28/reg ionali-il-tour-dei-big-in-sicilia-stoccate-di-renzi-e-berlusconi-e-oggi-e-la-volta-di-grillo-a-catania_747051/?utm_medium=feed&utm_source=twitter.com&utm_campaign=Feed%3A+gds_twitter_feed \u2026 pic.twitter.com/hRyFBJyuxg', u'#regionalisicilia2017'
'ventezurbaine', 0, u'#Regionali #Sicilia , #Micari :Abbiamo le liste migliori, terrorizzato all\u2019idea di un esecutivo di destra con #Salvini https:// goo.gl/kkxj3V', u'#Regionali #Sicilia #Micari #Salvini'
'vitocrimi', 21, 'In Sicilia 1 cittadino su 4 non sa che il 5/11 si vota per le regionali . Il tour #M5S #SceglieteIlFuturo va avanti: https:// goo.gl/yLbQHW pic.twitter.com/uTDrqbfBDw', '#M5S #SceglieteIlFuturo'
'VinceCT', 0, u'#Regionali : arrivano in #Sicilia i big nazionali per la volata finale #elezioni #Grillo #Meloni http://www. hashtagsicilia.it/politica/regio nali-arrivano-sicilia-big-nazionali-la-volata-finale-25442 \u2026 via @hashtagsicilia', u'#Regionali #Sicilia #elezioni #Grillo #Meloni'
'ZzuCicciu', 1, u'#RegionaliSicilia , #Fava "ringrazia" #renzie : \u201cNon potevamo sperare in un endorsment pi\xf9 efficace per noi\u201d http:// shr.gs/uPKLjTG', u'#RegionaliSicilia #Fava #renzie'
'ecodaipalazzi', 0, u'#elezionisicilia #Sicilia Il #M5s con @DaniloToninelli chiede l\u2019aiuto dell\u2019 #Osce per le elezioni regionali http:// ecodaipalazzi.it/2017/10/27/sic ilia-m5s-chiede-laiuto-dellosce-le-elezioni-regionali/ \u2026', u'#elezionisicilia #Sicilia #M5s #Osce'
'GDS_it', 0, u'#Regionali in #Sicilia , @LaRosa : Puntiamo ad una zona economica speciale" http:// tgs.gds.it/2017/10/27/reg ionali-in-sicilia-la-rosa-puntiamo-ad-una-zona-economica-speciale_746885/?utm_medium=feed&utm_source=twitter.com&utm_campaign=Feed%3A+gds_twitter_feed \u2026 pic.twitter.com/6UrjssRXCs', u'#Regionali #Sicilia'
'paolo_stillo', 4, u"5 Novembre #elezioni regionali in #sicilia facciamo valere la ragione della democrazia e l'istanza di rinnovamento. http://www. beppegrillo.it/2017/10/il_vot o_in_sicilia_e_piu_importante_del_referendum_costituzionale.html \u2026", u'#elezioni #sicilia'
'NuovoSud', 0, '#Regionali in #Sicilia , a #Pachino sorteggiati i 120 scrutatori http:// ow.ly/vE4X30gahP7 #27ottobre', '#Regionali #Sicilia #Pachino #27ottobre'
'NuovoSud', 0, '#Regionali in #Sicilia , Musumeci: "Bene Minniti, confidiamo nelle coscienze degli elettori" http:// ow.ly/VjKI30g8WwK #26ottobre', '#Regionali #Sicilia #26ottobre'
'AndFranchini', 2, u'Regionali Sicilia , venerd\xec il blitz di #Renzi http:// google.com/newsstand/s/CB Iw3LDgjTo \u2026', u'#Renzi'
'F_DUva', 12, 'Siamo alle battute finali di questa campagna elettorale. Con VOI possiamo cambiare le sorti e la storia della nostra amata Regione. Queste le tappe del tour del @Mov5Stelle che faremo in provincia di #Messina . #SceglieteilFuturo #RegionaliSicilia pic.twitter.com/j9Z9ICR8J6', '#Messina #SceglieteilFuturo #RegionaliSicilia'
'sicilianews24', 0, u'#Regionali : @MatteoRenzi arriva in Sicilia - https:// sicilianews24.it/regionali-visi ta-matteo-renzi-palermo-sicilia-526478.html \u2026 pic.twitter.com/Wnbnf0Bnvu', u'#Regionali'
'VinceCT', 0, u'#Sicilia : #Cancelleri , per #elezioni non ci sar\xe0 #Osce #M5S #regionali #voto http://www. hashtagsicilia.it/apertura/sicil ia-cancelleri-elezioni-non-ci-sara-osce-25412 \u2026 via @hashtagsicilia', u'#Sicilia #Cancelleri #elezioni #Osce #M5S #regionali #voto'
'M5S_Spagna', 2, u'Meritiamo molto di piu dei soliti noti #sceglieteilfuturo #IoCiMettoLaFaccia #impresentabili #regionali #Sicilia #Cancelleri https:// twitter.com/GiancarloCanc/ status/923097600215134208 \u2026', u'#sceglieteilfuturo #IoCiMettoLaFaccia #impresentabili #regionali #Sicilia #Cancelleri'
