SalvoLiguori1,925794657472217089,0,Retweeted Repubblica Palermo ( @rep_palermo ): #RegionaliSicilia  #Berlusconi a Palermo: "Nessun governo ha fatto... http:// fb.me/zdrCUYTq,@rep_palermo,#RegionaliSicilia #Berlusconi,2017-11-01 19:40:21,,https://twitter.com/SalvoLiguori1/status/925794657472217089
rep_palermo,925793177285603330,7,#RegionaliSicilia  #Berlusconi a Palermo: "Nessun governo ha fatto per la Sicilia ciò che abbiamo fatto noi" Foto di Mike Palazzotto pic.twitter.com/1d8BhG894L,,#RegionaliSicilia #Berlusconi,2017-11-01 19:34:28,,https://twitter.com/rep_palermo/status/925793177285603330
CastelbuonoOrg,925792351041282048,0,Regionali  incontro con Pino Di Gesaro per “Cento passi per la Sicilia ” [riceviamo e pubblichiamo]… http://www. castelbuono.org/regionali-inco ntro-con-pino-di-gesaro-per-cento-passi-per-la-sicilia/ …,,,2017-11-01 19:31:11,,https://twitter.com/CastelbuonoOrg/status/925792351041282048
Ignazio_Brusca,925792247983026176,0,Regionali Sicilia  Cuffaro spiazza Musumeci: "Gli 'impresentabili' li conosce bene" http:// fb.me/3JYp6yZpx,,,2017-11-01 19:30:46,,https://twitter.com/Ignazio_Brusca/status/925792247983026176
eziomauro,925790414485024774,2,Regionali Sicilia  Berlusconi a Palermo: "Accordo con Salvini e Meloni per governo del Paese" http:// palermo.repubblica.it/politica/2017/ 11/01/news/regionali_sicilia_berlusconi_a_palermo_accordo_con_salvini_e_meloni_per_governo_del_paese_-179966148/ … via @repubblica,@repubblica,,2017-11-01 19:23:29,,https://twitter.com/eziomauro/status/925790414485024774
salvatoredibla,925788963033542658,0,Queste elezioni regionali in Sicilia le hanno nascoste finchè potevano poi hanno scoperto che Giancarlo... http:// fb.me/99r9jqL0W,,,2017-11-01 19:17:43,,https://twitter.com/salvatoredibla/status/925788963033542658
TutteLeNotizie,925788419774545921,0,Regionali Sicilia  Berlusconi: "Crocetta ha derubato il vostro futuro" | A Catania vertice… https:// goo.gl/fb/iq17QR,,,2017-11-01 19:15:34,,https://twitter.com/TutteLeNotizie/status/925788419774545921
TuttaPalermo,925786382890618880,0,Regionali Sicilia  Berlusconi a Palermo: "Accordo con Salvini e Meloni per governo del Paese" http:// ift.tt/2ynzBGi,,,2017-11-01 19:07:28,,https://twitter.com/TuttaPalermo/status/925786382890618880
TutteLeNotizie,925785840940453888,0,Regionali Sicilia  Berlusconi a Palermo: "Accordo con Salvini e Meloni per governo del… https:// goo.gl/fb/56GHnL,,,2017-11-01 19:05:19,,https://twitter.com/TutteLeNotizie/status/925785840940453888
RDAsrls,925784930981949441,0,info attualità Regionali Sicilia  Berlusconi a Palermo: "Accordo con Salvini e Meloni per governo del Paese" http:// ow.ly/jtQk50eWeQy,,,2017-11-01 19:01:42,,https://twitter.com/RDAsrls/status/925784930981949441
repubblica,925783045155590144,7,Regionali Sicilia  Berlusconi a Palermo: "Accordo con Salvini e Meloni per governo del Paese" http:// larep.it/2z6iqsk,,,2017-11-01 18:54:12,,https://twitter.com/repubblica/status/925783045155590144
ilquotidiano1,925782832374566919,0,Regionali Sicilia  Berlusconi a Palermo: "Accordo con Salvini e Meloni per governo del… https:// goo.gl/fb/Pbm21G,,,2017-11-01 18:53:22,,https://twitter.com/ilquotidiano1/status/925782832374566919
INARCHSICILIA,925782596004601856,0,La lettera di IN/ARCH Sicilia ai candidati Governatori alle prossime Elezioni Regionali del 5 novembre 2017.... http:// fb.me/QzPpmKzV,,,2017-11-01 18:52:25,,https://twitter.com/INARCHSICILIA/status/925782596004601856
RepubblicaTv,925781250131894272,0,Regionali Sicilia  Berlusconi: ''Governo di centrosinistra ha derubato futuro'' http:// larep.it/2z3ZTNw,,,2017-11-01 18:47:04,,https://twitter.com/RepubblicaTv/status/925781250131894272
repubblica,925780549053976576,4,Regionali Sicilia  Berlusconi a Palermo: "Accordo con Salvini e Meloni per governo del Paese" http:// larep.it/2z5cTTe,,,2017-11-01 18:44:17,,https://twitter.com/repubblica/status/925780549053976576
repubblica,925780521941999616,0,Regionali Sicilia  Berlusconi a Palermo: "Accordo con Salvini e Meloni per governo del Paese" http:// larep.it/2z6h8xu,,,2017-11-01 18:44:11,,https://twitter.com/repubblica/status/925780521941999616
alessiobalbi,925780512257466368,0,Regionali Sicilia  Berlusconi a Palermo: "Accordo con Salvini e Meloni per governo del Paese" http:// larep.it/2hvdraV [a],,,2017-11-01 18:44:08,,https://twitter.com/alessiobalbi/status/925780512257466368
notizie_palermo,925778779032584192,0,Repubblica: Regionali Sicilia  Berlusconi a Palermo: "Accordo con Salvini e Meloni per governo del Paese" http:// ift.tt/2ynzBGi #palermo,,#palermo,2017-11-01 18:37:15,,https://twitter.com/notizie_palermo/status/925778779032584192
demmy747,925777732021125121,1,Retweeted la Repubblica ( @repubblica ): Regionali Sicilia  Cuffaro spiazza Musumeci: "Gli 'impresentabili' li... http:// fb.me/41DDsdrDF,@repubblica,,2017-11-01 18:33:06,,https://twitter.com/demmy747/status/925777732021125121
